title,author,id,genre
Outopost,Dmitry Glukhovsky,1,fantasy
Pozniej,Stephen King,2,fantasy
Wiedzmin,Andrzej Sapkowski,3,fantasy
Metro 2033,Dmitry Glukhovsky,4,fantasy
Alicja,Christina Henry,5,fantasy
100 regul ludzi sukcesu,Nigel Cumberland,6,biznes
Zespol zaczyna się od CIEBIE,Michael G. Rogers,7,biznes
Matematyka dla menedzerow,Michael C. Thomsett,8,biznes
Standard Bitcoina,Saifedean Ammous,9,biznes
Koniec pieniadza papierowego,Roland Baader,10,biznes
Daleki strzal,Marek Czerwinski,11,historia
Medyceusze,Mary Holingsworth,12,historia
Wojna lekarzy Hitlera,Bartosz T. Wieliński,13,historia
Bron precyzyjna,Marek Czerwinski,14,historia
Operator 594,Krzysztof Puwalski,15,historia
Juve!,Herbie Sykes,16,sport
Swiatlo bramki,Michal Okonski,17,sport
Jezyk futbolu,Tom Williams,18,sport
Zapiski z Krolestwa,Przemyslaw Rudzki,19,sport
Guvnors,Peter Walsh,20,sport
Pasja testowania,Krzysztof Jadczyk,21,informatyka
Czysty kod w Pythonie,Sunil Kapil,22,informatyka
C#. Zacznij programowac,Rob Miles,23,informatyka
Algorytmy dla bystrzakow,Luca Massaron,24,informatyka
Programista na rozmowie kwalifikacyjnej,Dariusz Kalbarczyk,25,informatyka
