title,author,id,genre,price,number
Outopost,Dmitry Glukhovsky,1,fantasy,30,5
Później,Stephen King,2,fantasy,31,5
Wiedźmin,Andrzej Sapkowski,3,fantasy,35,5
Metro 2033,Dmitry Glukhovsky,4,fantasy,35,5
Alicja,Christina Henry,5,fantasy,25,5
100 reguł ludzi sukcesu,Nigel Cumberland,6,biznes,30,5
Zespół zaczyna się od CIEBIE,,7,biznes,35,5
Matematyka dla menedżerów,Michael C. Thomsett,8,biznes,64,5
Standard Bitcoina,,9,biznes,31,5
Koniec pieniądza papierowego,Roland Baader,10,biznes,37,5
Daleki strzał,Marek Czerwiński,11,historia,40,5
Medyceusze,Mary Holingsworth,12,historia,33,5
Wojna lekarzy Hitlera,Bartosz T. Wieliński,13,historia,36,5
Broń precyzyjna,Marek Czerwiński,14,historia,46,5
Operator 594,Krzysztof Puwalski,15,historia,26,5
Juve!,Herbie Sykes,16,sport,46,5
Światło bramki,Michał Okoński,17,sport,32,5
Język futbolu,Tom Williams,18,sport,32,5
Zapiski z Królestwa,Przemysław Rudzki,19,sport,32,5
Guvnors,Peter Walsh,20,sport,24,5
Pasja testowania,Krzysztof Jadczyk,21,informatyka,31,5
Czysty kod w Pythonie,Sunil Kapil,22,informatyka,37,5
C#. Zacznij programować,Rob Miles,23,informatyka,82,5
Algorytmy dla bystrzaków,Luca Massaron,24,informatyka,55,5
Programista na rozmowie kwalifikacyjnej,Dariusz Kalbarczyk,25,informatyka,55,5
